MATR_ALUNO,ANO,PERIODO,n_disciplinas_anteriores,taxa_aprovacao_historica,n_reprovacoes_historico,disciplina_ja_cursada,n_vezes_disciplina,MEDIA_FINAL_PRED,NUM_FALTAS_PRED,disc_1,disc_2,disc_3,disc_4,disc_5,TARGET
1,2013,1,0,0.5,0,False,0,36.25337273310327,13.990017880138263,0,1,0,0,0,APROVADO
2,2013,1,0,0.5,0,False,0,73.83869256791992,10.427194349869195,1,0,0,0,0,REPROVADO
3,2013,1,0,0.5,0,False,0,36.322895370727025,21.20370569961324,0,0,0,1,0,REPROVADO
4,2013,2,0,0.5,0,False,0,34.28442127800324,18.467629189871733,0,1,0,0,0,APROVADO
4,2013,2,0,0.5,0,False,0,22.59047550448338,20.876936250613195,0,0,0,0,1,APROVADO
5,2013,2,0,0.5,0,False,0,34.28442127800324,18.467629189871733,0,1,0,0,0,APROVADO
5,2014,2,1,1.0,0,False,0,75.5632428544012,11.12372441930829,0,0,0,1,0,APROVADO
6,2013,1,0,0.5,0,False,0,36.322895370727025,21.20370569961324,0,0,0,1,0,REPROVADO
7,2013,1,0,0.5,0,False,0,36.25337273310327,13.990017880138263,0,1,0,0,0,REPROVADO
9,2013,2,0,0.5,0,False,0,57.32271435419491,16.822355213153333,0,0,1,0,0,REPROVADO
9,2013,2,0,0.5,0,False,0,22.59047550448338,20.876936250613195,0,0,0,0,1,REPROVADO
10,2013,1,0,0.5,0,False,0,36.322895370727025,21.20370569961324,0,0,0,1,0,REPROVADO
11,2013,2,0,0.5,0,False,0,22.59047550448338,20.876936250613195,0,0,0,0,1,REPROVADO
12,2014,1,0,0.5,0,False,0,53.65434488587278,18.56984398492244,0,0,0,1,0,APROVADO
13,2016,1,0,0.5,0,False,0,59.76447384281416,6.883869117424191,0,0,0,1,0,APROVADO
14,2013,1,0,0.5,0,False,0,36.25337273310327,13.990017880138263,0,1,0,0,0,REPROVADO
15,2017,2,0,0.5,0,False,0,28.075230189728007,9.62383642290002,0,0,0,0,1,APROVADO
16,2014,1,0,0.5,0,False,0,51.51482267710552,7.368651280942534,0,0,0,0,1,REPROVADO
17,2013,2,0,0.5,0,False,0,25.176179650645857,23.932593247748535,0,0,0,1,0,REPROVADO
17,2013,2,0,0.5,0,False,0,22.59047550448338,20.876936250613195,0,0,0,0,1,REPROVADO
17,2014,2,2,0.0,2,True,1,4.539706349206351,19.750396825396827,0,0,0,0,1,REPROVADO
