MATR_ALUNO,ANO,PERIODO,SITUACAO,MEDIA_FINAL,NUM_FALTAS,DISCIPLINA
1,2013,1,Aprovado,77,12,2
2,2013,1,Reprovado por Frequencia,0,32,1
3,2013,1,Reprovado por Frequencia,0,50,4
4,2013,2,Aprovado,60,2,2
4,2013,2,Aprovado,68,2,5
5,2013,2,Aprovado,60,4,2
5,2014,2,Aprovado,97,8,4
6,2013,1,Reprovado por Frequencia,10,42,4
7,2013,1,Reprovado por Frequencia,10,45,2
8,2013,2,Equivalencia curricular,-1,-1,4
9,2013,2,Reprovado por Frequencia,0,66,3
9,2013,2,Reprovado por Frequencia,0,66,5
10,2013,1,Reprovado por Frequencia,28,50,4
11,2013,2,Reprovado por Frequencia,12,32,5
12,2014,1,Aprovado,69,14,4
13,2016,1,Aprovado,90,10,4
14,2013,1,Reprovado por Frequencia,16,24,2
15,2017,2,Aprovado,79,10,5
16,2014,1,Reprovado por Frequencia,0,46,5
17,2013,2,Reprovado por Frequencia,0,38,4
17,2013,2,Reprovado,27,4,5
17,2014,2,Reprovado,0,14,5
18,2013,1,Reprovado por Frequencia,30,40,2
18,2013,2,Reprovado por Frequencia,0,54,2
18,2013,2,Reprovado por Frequencia,0,64,4
18,2013,2,Reprovado por Frequencia,10,32,5
19,2016,2,Aprovado,93,6,3
20,2013,1,Equivalencia curricular,-1,-1,4
21,2013,2,Reprovado por Frequencia,6,42,2
21,2014,1,Reprovado por Frequencia,0,52,2
21,2013,2,Reprovado por Frequencia,0,66,5
21,2014,1,Reprovado por Frequencia,0,70,5
22,2013,1,Reprovado por Frequencia,33,22,2
22,2013,2,Reprovado por Frequencia,0,52,2
22,2013,2,Reprovado por Frequencia,0,66,5
23,2013,1,Reprovado por Frequencia,0,31,1
23,2013,1,Reprovado,0,0,2
23,2013,2,Reprovado por Frequencia,0,60,2
23,2013,1,Reprovado por Frequencia,0,48,4
23,2013,2,Reprovado por Frequencia,0,66,5
24,2013,1,Reprovado,7,14,2
25,2015,1,Aprovado,70,10,3
26,2013,1,Reprovado,53,2,2
26,2013,2,Reprovado por Frequencia,0,60,2
26,2013,2,Reprovado por Frequencia,0,58,4
27,2013,1,Reprovado por Frequencia,0,36,2
27,2013,2,Reprovado por Frequencia,0,60,2
27,2013,1,Reprovado por Frequencia,0,66,4
27,2013,1,Reprovado por Frequencia,0,72,5
27,2013,2,Reprovado por Frequencia,0,66,5
28,2016,2,Reprovado,44,8,2
29,2016,2,Reprovado,29,10,4
30,2013,1,Reprovado por Frequencia,0,32,1
30,2013,2,Reprovado por Frequencia,0,72,1
